Equity,DateNumber,LAST_lag1,LAST_lag2,LAST_lag3,LAST,VOLUME_lag1,VOLUME_lag2,VOLUME_lag3,VOLUME,HIGH_lag1,HIGH_lag2,HIGH_lag3,HIGH,LOW_lag1,LOW_lag2,LOW_lag3,LOW,MA(5),MA(20),EWMA(20),MACD,SIGNAL,Histogram,RSI(14),BolBandUpper,BolBandLower,FastStochastic(k%),FastStochastic(d%),SlowStochastic(d%),Momentum(7),RateOfChange(7),MovingVariance,CCI,Chaikin,DisparityIndex(10),WilliamR(10),Volatility(20),Volatility(10),Significant_daily_price_rise_shift,Significant_daily_price_fall_shift
SBI,730803,0.0450403540745,0.0450114264225,0.0450403540745,0.0449535711186,0.00817522442703,0.0038190286452,0.016369926723,0.0027688101902,0.0462409472353,0.0447177836533,0.0455224738476,0.0454075181055,0.0447577814182,0.0453428504564,0.044816288322,0.0453135970044,0.0558199554861,0.0561931883113,0.0468034249693,0.403363453341,0.389291537686,0.472965231052,0.639494909309,0.0431842360216,0.104029259505,0.678832116788,0.684914841849,0.696582994234,0.339090611711,0.160130881135,2.41080807969e-05,0.0,0.00482040501981,0.0,0.389380530973,0.0478777469198,0.0312629533848,0.0,0.0
SBI,730804,0.0449535711186,0.0450403540745,0.0450114264225,0.0451560646822,0.0027688101902,0.00817522442703,0.0038190286452,0.0128826746542,0.0454075181055,0.0462409472353,0.0447177836533,0.0451201287504,0.0453135970044,0.0447577814182,0.0453428504564,0.0440264451205,0.0558495524933,0.0563939499702,0.0469279756663,0.403019174688,0.389442855513,0.471961394013,0.659215779995,0.0433915419011,0.104205749031,0.704379562044,0.69099756691,0.697816612287,0.336408243376,0.15302649462,3.062091312e-07,0.0,0.00485153077217,0.0,0.45251396648,0.0479695840478,0.0183093309179,0.0,0.0
SBI,730808,0.0451560646822,0.0449535711186,0.0450403540745,0.0453585582458,0.0128826746542,0.0027688101902,0.00817522442703,0.013035856024,0.0451201287504,0.0454075181055,0.0462409472353,0.0448614783308,0.0440264451205,0.0453135970044,0.0447577814182,0.043880177861,0.055914665909,0.0566564844471,0.0470701509131,0.402740313866,0.389503888206,0.47126667015,0.679448768729,0.043501607814,0.104606748669,0.729927007299,0.704379562044,0.703162290519,0.340333660451,0.163525514555,1.37794110625e-06,0.0,0.00487664036432,0.0,0.521126760563,0.0458377158835,0.00964387320176,0.0,0.0
SBI,730809,0.0453585582458,0.0451560646822,0.0449535711186,0.0470942173624,0.013035856024,0.0128826746542,0.0027688101902,0.0342602202906,0.0448614783308,0.0451201287504,0.0454075181055,0.0470456374296,0.043880177861,0.0440264451205,0.0453135970044,0.0455476246197,0.056340862812,0.0569838803831,0.0475484741609,0.403674632016,0.389753815546,0.472720172088,0.798039047597,0.0439282764726,0.104800911104,0.887372013652,0.773892860998,0.733237870596,0.344193653909,0.174068731963,4.35641381901e-05,0.0,0.00488164542417,0.0,0.204968944099,0.0472290794704,0.0188098811646,0.0,0.0
SBI,730810,0.0470942173624,0.0453585582458,0.0451560646822,0.0451849923342,0.0342602202906,0.013035856024,0.0128826746542,0.0187135561368,0.0470456374296,0.0448614783308,0.0451201287504,0.0462409472353,0.0455476246197,0.043880177861,0.0440264451205,0.0449625555816,0.0563704598191,0.0572093511692,0.0475300914038,0.402794040129,0.389764220189,0.470877098667,0.535641601871,0.0439357289842,0.105237337372,0.595918367347,0.737739129433,0.74903704909,0.339810271508,0.162094052525,4.25777914548e-05,0.0,0.00487248707354,0.0,0.614906832298,0.044213342915,0.0154217507977,0.0,0.0
SBI,730811,0.0451849923342,0.0470942173624,0.0453585582458,0.0459949665886,0.0187135561368,0.0342602202906,0.013035856024,0.0117319015111,0.0462409472353,0.0470456374296,0.0448614783308,0.0456661685251,0.0449625555816,0.0455476246197,0.043880177861,0.0456061315235,0.0565835582706,0.0574209230712,0.0476855239549,0.402556682993,0.389721455523,0.470467972756,0.598448557077,0.0441052565602,0.105475060968,0.641414141414,0.708234840804,0.750340177055,0.341707556428,0.167277391313,4.33786461175e-05,0.0,0.00486513530033,0.0,0.44099378882,0.0436468608068,0.0162410790676,0.0,0.0
SBI,730812,0.0459949665886,0.0451849923342,0.0470942173624,0.0454453412017,0.0117319015111,0.0187135561368,0.0342602202906,0.011682098589,0.0456661685251,0.0462409472353,0.0470456374296,0.0461547304288,0.0456061315235,0.0449625555816,0.0455476246197,0.0455476246197,0.0566427522849,0.0576278620119,0.0476944186965,0.401798420841,0.389524036624,0.469277943124,0.538922434227,0.0441078567747,0.105880098032,0.44099378882,0.559442099194,0.677853386263,0.340399084069,0.163701675544,4.01222297317e-05,0.0,0.00486332020124,0.0,0.55900621118,0.0408536892453,0.0158055014472,0.0,0.0
SBI,730815,0.0454453412017,0.0459949665886,0.0451849923342,0.0467470855391,0.011682098589,0.0117319015111,0.0187135561368,0.0124801826347,0.0461547304288,0.0456661685251,0.0462409472353,0.0460972525578,0.0455476246197,0.0456061315235,0.0449625555816,0.0461034402059,0.0569268835535,0.0578996624115,0.0479749717775,0.402039925997,0.389418082699,0.469981745582,0.634555855715,0.04424918924,0.106266307831,0.72049689441,0.600968274881,0.631623285531,0.34353941773,0.172293299909,4.55986623515e-05,0.0,0.00486101122852,0.0,0.27950310559,0.0391019239331,0.0190276036243,0.0,0.0
SBI,730816,0.0467470855391,0.0454453412017,0.0459949665886,0.0486563105673,0.0124801826347,0.011682098589,0.0117319015111,0.0429492095667,0.0460972525578,0.0461547304288,0.0456661685251,0.048367628463,0.0461034402059,0.0455476246197,0.0456061315235,0.0477123800608,0.0572465312308,0.0582208810657,0.0486004555976,0.403521098912,0.389652124914,0.472597939613,0.72950228418,0.0448463661627,0.10626806954,0.87922705314,0.680239245457,0.622160456647,0.347399411187,0.182768808117,0.000114713597468,0.0,0.00486887531648,0.0,0.12077294686,0.042904188016,0.0328933349313,0.0,0.0
SBI,730817,0.0486563105673,0.0467470855391,0.0454453412017,0.0493795018658,0.0429492095667,0.0124801826347,0.011682098589,0.0405972151445,0.048367628463,0.0460972525578,0.0461547304288,0.0489711461087,0.0477123800608,0.0461034402059,0.0455476246197,0.0489995319448,0.0581048444381,0.0586440248697,0.0492527522579,0.405060252237,0.390170643653,0.474786922663,0.757086078767,0.0453478522061,0.106571826527,0.907894736842,0.835872894797,0.71559720213,0.34857703631,0.185885875618,0.000186743408011,0.0,0.00483417823788,0.0,0.0921052631579,0.0439979589794,0.0441222126015,0.0,0.0
